1108.08,3628.48,5908.26,8026.85,9447.35,9025.26,9209.46,4771.66,488.24,0.00,0.00,0.00,0.00
836.26,2622.68,5177.37,8080.30,9543.12,9036.66,8484.66,5130.83,3450.10,499.00,0.00,0.00,0.00
1209.16,2743.89,5917.14,9126.14,8564.93,7720.85,8551.08,6106.10,4988.06,3431.04,430.33,0.00,0.00
1056.65,2764.97,5702.34,7924.88,9107.44,8756.13,7760.54,6049.24,5525.87,4858.37,2418.49,98.37,0.00
1009.31,3210.74,5807.90,7751.20,9731.55,9205.41,9153.84,6643.60,6178.69,5103.65,3599.98,1111.38,0.00
1067.58,3357.56,6672.64,9720.46,11014.33,9991.47,9431.32,7530.31,6915.14,5511.18,4299.88,1686.87,48.00
1191.96,3723.74,7445.98,9658.95,9692.71,9826.43,10134.32,7871.04,6989.75,6201.00,4260.69,1811.43,143.69
1119.12,3273.86,7198.91,9610.61,11636.33,9915.14,10832.28,7572.99,6452.71,6407.71,3213.86,1358.96,102.87
924.70,2716.70,5541.18,6919.15,9391.51,9084.26,9653.26,7117.81,7179.48,6636.20,2969.86,1120.46,82.96
651.71,1843.61,3729.96,4619.77,5825.08,6065.76,6344.06,6385.20,7295.97,5286.08,2611.93,812.17,48.28
477.50,1102.78,2339.84,3610.55,4649.82,4706.30,5914.61,5319.26,4455.70,2787.84,1371.44,489.94,33.34
268.22,699.72,1250.86,1865.19,2727.75,2876.06,3312.18,3102.14,2309.95,1505.09,647.20,218.91,23.46
117.44,341.33,606.84,861.92,1125.05,1279.46,1516.83,1381.61,963.91,687.72,374.24,120.82,15.38
33.14,86.51,139.26,201.34,246.20,282.20,359.10,297.04,213.77,152.68,104.58,50.11,6.58
