30145.74,20862.34,3840.88,485.93,205.73,107.47,78.68
46608.95,20312.24,2477.01,592.66,271.31,122.94,68.15
43015.12,13730.91,1790.65,673.08,294.29,230.94,114.51
23378.95,7126.53,1517.63,580.93,366.52,181.85,62.79
7666.75,2739.25,946.98,486.12,363.63,157.03,89.99
1812.36,1264.32,741.52,334.63,190.70,124.18,72.62
819.94,614.30,425.07,312.88,171.30,87.41,44.70
472.36,447.26,294.08,222.06,151.22,74.73,38.74
251.93,317.49,169.42,126.68,88.99,42.92,31.34
138.87,150.33,116.92,64.75,44.60,25.22,22.49
55.08,68.82,46.37,27.15,22.63,18.99,10.55
16.19,17.57,24.45,13.30,12.01,9.61,6.21
