2978.50,1218.08,302.98,79.73,48.49,38.37,34.94
2150.39,690.60,149.40,81.88,46.21,27.70,25.24
1674.30,459.56,112.30,79.44,40.80,33.31,24.67
1106.07,304.43,100.18,57.75,44.27,28.26,18.79
375.71,114.83,48.43,37.71,27.91,15.80,11.71
158.96,72.30,42.38,23.53,15.14,12.40,8.86
82.55,36.91,21.15,19.29,11.68,7.80,4.80
73.57,31.71,16.03,14.29,11.32,5.84,4.12
34.13,20.77,10.24,8.05,6.35,3.93,4.20
27.13,11.11,6.70,4.66,3.52,2.86,2.60
9.16,4.88,3.00,2.14,1.81,1.67,1.41
3.93,2.42,2.33,1.40,1.29,1.20,1.23
